submission_id,user_id,rank,rating,country,language,problem_id,code,rank_bucket,code_length,line_count,avg_line_length,spaces_count,tabs_count,newlines_ratio,has_comments,uses_list_comp,uses_map,uses_lambda,imports_math,uses_recursion,variable_name_length,uses_scanner,has_class,uses_bits_stdc,uses_vector,uses_auto,compact_style
14,user_3223,1643,1643,Japan,Python,CF614B,"for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Expert,83,3,27.666666666666668,17,0,0.03614457831325301,0,0.0,1.0,0.0,0.0,0,0,,,,,,
15,user_6332,2166,2167,USA,Python,CF526B,"print(*sorted(map(int, input().split())))",Master,41,1,41.0,1,0,0.024390243902439025,0,0.0,1.0,0.0,0.0,0,0,,,,,,
16,user_3975,1252,1243,USA,Java,CF599E,"import java.util.*;

public class Solution {
    static int gcd(int a, int b) {
        if(b == 0) return a;
        return gcd(b, a % b);
    }
    
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y = sc.nextInt();
        System.out.println(gcd(x, y));
    }
}",Pupil,346,15,23.066666666666666,102,0,0.04335260115606936,0,,,,,1,4,1.0,1.0,,,,
17,user_5495,1966,1970,Brazil,C++,CF925A,"#include <bits/stdc++.h>
using namespace std;
int main(){int s;cin>>s;vector<int>a(s);for(int i=0;i<s;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Master,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
18,user_8679,1271,1269,Brazil,Python,CF701B,"// My approach
def factorial(tmp):
    if tmp == 0:
        return 1
    else:
        return tmp * factorial(tmp - 1)

number = int(input())
print(factorial(number))",Pupil,166,9,18.444444444444443,38,0,0.05421686746987952,1,0.0,0.0,0.0,0.0,1,0,,,,,,
19,user_9570,1291,1290,Russia,C++,CF731C,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int cur;
    cin >> cur;
    vector<int> arr(cur);
    for(int i = 0; i < cur; i++) {
        cin >> arr[i];
    }
    int sum = 0;
    for(int i = 0; i < cur; i++) {
        sum += arr[i];
    }
    cout << sum << endl;
    return 0;
}",Pupil,334,19,17.57894736842105,95,0,0.05688622754491018,1,,,,,0,6,,,0.0,1.0,0.0,0.0
20,user_2209,1831,1828,India,Python,CF114E,"y = int(input())
print(sum(map(int, input().split())))",Expert,54,2,27.0,3,0,0.037037037037037035,0,0.0,1.0,0.0,0.0,0,0,,,,,,
21,user_3386,2316,2311,Japan,Python,CF827A,"from math import gcd
print(gcd(*map(int, input().split())))",Grandmaster,59,2,29.5,4,0,0.03389830508474576,0,0.0,1.0,0.0,1.0,1,0,,,,,,
22,user_2824,2318,2314,China,C++,CF251B,"#include <bits/stdc++.h>
using namespace std;
int main(){int v;cin>>v;vector<int>a(v);for(int i=0;i<v;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Grandmaster,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
23,user_4065,2361,2370,India,Python,CF869C,"from math import gcd
print(gcd(*map(int, input().split())))",Grandmaster,59,2,29.5,4,0,0.03389830508474576,0,0.0,1.0,0.0,1.0,1,0,,,,,,
24,user_1299,1817,1812,USA,C++,CF468B,"#include <bits/stdc++.h>
using namespace std;
int main(){int n;cin>>n;vector<int>v(n);for(int i=0;i<n;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Expert,166,3,55.333333333333336,8,0,0.018072289156626505,1,,,,,0,7,,,1.0,1.0,0.0,1.0
25,user_2971,2343,2344,Japan,C++,CF370D,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Grandmaster,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
26,user_3832,1354,1363,China,C++,CF130B,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int gcd(int a, int b) {
    if(b == 0) return a;
    return gcd(b, a % b);
}

int main() {
    int x, y;
    cin >> x >> y;
    cout << gcd(x, y) << endl;
    return 0;
}",Pupil,251,16,15.6875,56,0,0.06374501992031872,1,,,,,1,4,,,0.0,1.0,0.0,0.0
27,user_7064,1898,1893,China,C++,CF276C,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Expert,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
28,user_8830,2288,2283,Japan,C++,CF244D,"#include <bits/stdc++.h>
using namespace std;
int main(){int c;cin>>c;vector<int>a(c);for(int i=0;i<c;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Master,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
29,user_7792,2371,2381,India,Python,CF489B,"for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Grandmaster,83,3,27.666666666666668,17,0,0.03614457831325301,0,0.0,1.0,0.0,0.0,0,0,,,,,,
30,user_6359,885,880,USA,Python,CF909A,"// Solution
def gcd(a, b):
    while b != 0:
        temp = b
        b = a % b
        a = temp
    return a

x, y = map(int, input().split())
print(gcd(x, y))",Newbie,160,10,16.0,52,0,0.0625,1,0.0,1.0,0.0,0.0,1,0,,,,,,
31,user_4915,2324,2330,Brazil,C++,CF573A,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Grandmaster,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
32,user_3010,2478,2472,USA,Python,CF579E,"for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Grandmaster,83,3,27.666666666666668,17,0,0.03614457831325301,0,0.0,1.0,0.0,0.0,0,0,,,,,,
33,user_4773,2016,2016,China,Python,CF589C,"from math import factorial
print(factorial(int(input())))",Master,57,2,28.5,3,0,0.03508771929824561,0,0.0,0.0,0.0,1.0,1,0,,,,,,
34,user_5365,2281,2283,Brazil,C++,CF353B,"#include <bits/stdc++.h>
using namespace std;
int main(){int y;cin>>y;vector<int>v(y);for(int i=0;i<y;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Master,166,3,55.333333333333336,8,0,0.018072289156626505,1,,,,,0,7,,,1.0,1.0,0.0,1.0
35,user_8094,2162,2153,USA,Java,CF343B,"import java.util.*;
class GCD{static int gcd(int a,int b){return b==0?a:gcd(b,a%b);}public static void main(String[]args){Scanner s=new Scanner(System.in);System.out.println(gcd(s.nextInt(),s.nextInt()));}}",Master,206,2,103.0,12,0,0.009708737864077669,0,,,,,1,4,1.0,1.0,,,,
36,user_5586,1021,1019,Japan,C++,CF976B,"// Solution
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int t;
    cin >> t;
    while(t--) {
        int x;
        cin >> x;
        cout << x * x << endl;
    }
    return 0;
}",Newbie,233,16,14.5625,66,0,0.06866952789699571,1,,,,,0,6,,,0.0,1.0,0.0,0.0
37,user_1884,847,848,USA,Java,CF183A,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int result = scanner.nextInt();
        int sum = 0;
        for(int i = 0; i < result; i++) {
            sum += scanner.nextInt();
        }
        System.out.println(sum);
    }
}",Newbie,327,13,25.153846153846153,97,0,0.039755351681957186,0,,,,,0,6,1.0,1.0,,,,
38,user_3766,2010,2002,Japan,Python,CF616D,"for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Master,83,3,27.666666666666668,17,0,0.03614457831325301,0,0.0,1.0,0.0,0.0,0,0,,,,,,
39,user_8377,1535,1533,Poland,Python,CF603C,"// Fast solution
for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Expert,100,4,25.0,19,0,0.04,1,0.0,1.0,0.0,0.0,0,0,,,,,,
40,user_8308,1357,1358,Poland,C++,CF863E,"// My approach
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int gcd(int a, int b) {
    if(b == 0) return a;
    return gcd(b, a % b);
}

int main() {
    int x, y;
    cin >> x >> y;
    cout << gcd(x, y) << endl;
    return 0;
}",Pupil,266,17,15.647058823529411,58,0,0.06390977443609022,1,,,,,1,4,,,0.0,1.0,0.0,0.0
41,user_8503,2532,2529,Poland,C++,CF559C,"#include <bits/stdc++.h>
using namespace std;
int main(){int t;cin>>t;vector<int>a(t);for(int i=0;i<t;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Grandmaster,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
42,user_6315,2097,2105,Brazil,Java,CF509D,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Master,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
43,user_1864,1145,1140,China,Python,CF661E,"// Solution
def gcd(a, b):
    while b != 0:
        temp = b
        b = a % b
        a = temp
    return a

x, y = map(int, input().split())
print(gcd(x, y))",Newbie,160,10,16.0,52,0,0.0625,1,0.0,1.0,0.0,0.0,1,0,,,,,,
44,user_9188,1283,1275,China,C++,CF836B,"// Fast solution
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int t;
    cin >> t;
    while(t--) {
        int x;
        cin >> x;
        cout << x * x << endl;
    }
    return 0;
}",Pupil,238,16,14.875,67,0,0.06722689075630252,1,,,,,0,6,,,0.0,1.0,0.0,0.0
45,user_6734,1802,1802,Japan,Java,CF928E,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Expert,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
46,user_5627,2507,2503,USA,Java,CF457A,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Grandmaster,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
47,user_6395,1836,1846,USA,Java,CF658E,"import java.util.*;
class GCD{static int gcd(int a,int b){return b==0?a:gcd(b,a%b);}public static void main(String[]args){Scanner s=new Scanner(System.in);System.out.println(gcd(s.nextInt(),s.nextInt()));}}",Expert,206,2,103.0,12,0,0.009708737864077669,0,,,,,1,4,1.0,1.0,,,,
48,user_1412,1246,1242,Brazil,Java,CF184E,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int num = scanner.nextInt();
        int sum = 0;
        for(int i = 0; i < num; i++) {
            sum += scanner.nextInt();
        }
        System.out.println(sum);
    }
}",Pupil,321,13,24.692307692307693,97,0,0.040498442367601244,0,,,,,0,3,1.0,1.0,,,,
49,user_8917,1015,1007,Poland,Java,CF881A,"// Solution
import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int temp = scanner.nextInt();
        int sum = 0;
        for(int i = 0; i < temp; i++) {
            sum += scanner.nextInt();
        }
        System.out.println(sum);
    }
}",Newbie,335,14,23.928571428571427,98,0,0.041791044776119404,1,,,,,0,4,1.0,1.0,,,,
50,user_2578,1767,1773,Poland,Java,CF847C,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Expert,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
51,user_8458,2479,2475,Brazil,Java,CF581E,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Grandmaster,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
52,user_3296,911,906,USA,Java,CF241C,"// Solution
import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Newbie,193,3,64.33333333333333,10,0,0.015544041450777202,1,,,,,0,28,1.0,1.0,,,,
53,user_7729,931,937,Brazil,C++,CF918E,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int gcd(int a, int b) {
    if(b == 0) return a;
    return gcd(b, a % b);
}

int main() {
    int x, y;
    cin >> x >> y;
    cout << gcd(x, y) << endl;
    return 0;
}",Newbie,251,16,15.6875,56,0,0.06374501992031872,1,,,,,1,4,,,0.0,1.0,0.0,0.0
54,user_7854,2115,2120,Brazil,Java,CF677E,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Master,181,2,90.5,9,0,0.011049723756906077,0,,,,,0,28,1.0,1.0,,,,
55,user_7291,1069,1072,Poland,Python,CF543B,"// Solution
def solve():
    result = int(input())
    array = list(map(int, input().split()))
    total = 0
    for element in array:
        total += element
    print(total)

solve()",Newbie,185,10,18.5,42,0,0.05405405405405406,1,0.0,1.0,0.0,0.0,0,0,,,,,,
56,user_7541,1646,1648,China,Python,CF149E,"for _ in range(int(input())):
    a, b = map(int, input().split())
    print(a + b)",Expert,83,3,27.666666666666668,17,0,0.03614457831325301,0,0.0,1.0,0.0,0.0,0,0,,,,,,
57,user_3950,1592,1582,Russia,C++,CF770C,"#include <bits/stdc++.h>
using namespace std;

int gcd(int a, int b) {
    if(b == 0) return a;
    return gcd(b, a % b);
}

int main() {
    int x, y;
    cin >> x >> y;
    cout << gcd(x, y) << endl;
    return 0;
}",Expert,217,14,15.5,54,0,0.06451612903225806,1,,,,,1,4,,,1.0,0.0,0.0,0.0
58,user_9617,2142,2148,India,C++,CF482D,"#include <bits/stdc++.h>
using namespace std;
int main(){int n;cin>>n;vector<int>a(n);for(int i=0;i<n;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Master,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
59,user_5505,2462,2470,India,Python,CF968D,"from math import factorial
print(factorial(int(input())))",Grandmaster,57,2,28.5,3,0,0.03508771929824561,0,0.0,0.0,0.0,1.0,1,0,,,,,,
60,user_7032,893,885,India,Python,CF679E,"// Solution
def gcd(a, b):
    while b != 0:
        temp = b
        b = a % b
        a = temp
    return a

x, y = map(int, input().split())
print(gcd(x, y))",Newbie,160,10,16.0,52,0,0.0625,1,0.0,1.0,0.0,0.0,1,0,,,,,,
61,user_3025,1299,1300,China,C++,CF429C,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int main(){int res;cin>>res;vector<int>v(res);for(int i=0;i<res;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Pupil,208,5,41.6,10,0,0.02403846153846154,1,,,,,0,7,,,0.0,1.0,0.0,1.0
62,user_8142,1390,1383,Brazil,C++,CF859B,"// My approach
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int main(){int res;cin>>res;vector<int>v(res);for(int i=0;i<res;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Pupil,223,6,37.166666666666664,12,0,0.026905829596412557,1,,,,,0,7,,,0.0,1.0,0.0,0.0
63,user_7634,1235,1233,Brazil,Java,CF459B,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int tmp = scanner.nextInt();
        int sum = 0;
        for(int i = 0; i < tmp; i++) {
            sum += scanner.nextInt();
        }
        System.out.println(sum);
    }
}",Pupil,321,13,24.692307692307693,97,0,0.040498442367601244,0,,,,,0,3,1.0,1.0,,,,
64,user_6030,2368,2365,China,Python,CF854D,"v = int(input())
print(sum(map(int, input().split())))",Grandmaster,54,2,27.0,3,0,0.037037037037037035,0,0.0,1.0,0.0,0.0,0,0,,,,,,
65,user_4358,2094,2103,China,C++,CF486B,"#include <bits/stdc++.h>
using namespace std;
int main(){int c;cin>>c;vector<int>a(c);for(int i=0;i<c;i++)cin>>a[i];cout<<accumulate(a.begin(),a.end(),0);}",Master,155,3,51.666666666666664,6,0,0.01935483870967742,1,,,,,0,7,,,1.0,1.0,0.0,1.0
66,user_5204,2227,2220,Japan,C++,CF923C,"#include <bits/stdc++.h>
using namespace std;
int main(){int t;cin>>t;while(t--){int x;cin>>x;cout<<x*x<<""\n"";}}",Master,112,3,37.333333333333336,6,0,0.026785714285714284,1,,,,,0,7,,,1.0,0.0,0.0,0.0
67,user_3508,1368,1378,Japan,C++,CF237E,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int t;
    cin >> t;
    while(t--) {
        int x;
        cin >> x;
        cout << x * x << endl;
    }
    return 0;
}",Pupil,221,15,14.733333333333333,65,0,0.06787330316742081,1,,,,,0,6,,,0.0,1.0,0.0,0.0
68,user_6415,2091,2082,Poland,Python,CF164B,"x = int(input())
print(sum(map(int, input().split())))",Master,54,2,27.0,3,0,0.037037037037037035,0,0.0,1.0,0.0,0.0,0,0,,,,,,
69,user_5438,1964,1972,India,Python,CF469A,"print(*sorted(map(int, input().split())))",Master,41,1,41.0,1,0,0.024390243902439025,0,0.0,1.0,0.0,0.0,0,0,,,,,,
70,user_1914,1474,1477,Russia,C++,CF358B,"#include <bits/stdc++.h>
using namespace std;
int main(){int tmp;cin>>tmp;vector<int>v(tmp);for(int i=0;i<tmp;i++)cin>>v[i];sort(v.begin(),v.end());for(int x:v)cout<<x<<"" "";}",Expert,174,3,58.0,8,0,0.017241379310344827,1,,,,,0,7,,,1.0,1.0,0.0,1.0
71,user_9182,2388,2381,China,C++,CF830D,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Grandmaster,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
72,user_8596,940,941,Brazil,Java,CF654A,"// Solution
import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int t=sc.nextInt();while(t-->0){int x=sc.nextInt();System.out.println(x*x);}}}",Newbie,193,3,64.33333333333333,10,0,0.015544041450777202,1,,,,,0,28,1.0,1.0,,,,
73,user_9395,2267,2267,Poland,Python,CF349B,"from math import factorial
print(factorial(int(input())))",Master,57,2,28.5,3,0,0.03508771929824561,0,0.0,0.0,0.0,1.0,1,0,,,,,,
74,user_7102,2451,2450,Brazil,Python,CF496C,"from math import gcd
print(gcd(*map(int, input().split())))",Grandmaster,59,2,29.5,4,0,0.03389830508474576,0,0.0,1.0,0.0,1.0,1,0,,,,,,
75,user_8047,1537,1537,Japan,Java,CF421B,"// My approach
import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int cnt=sc.nextInt();int s=0;for(int i=0;i<cnt;i++)s+=sc.nextInt();System.out.println(s);}}",Expert,209,3,69.66666666666667,12,0,0.014354066985645933,1,,,,,0,17,1.0,1.0,,,,
76,user_8643,1028,1019,India,Python,CF757A,"// Solution
def gcd(a, b):
    while b != 0:
        temp = b
        b = a % b
        a = temp
    return a

x, y = map(int, input().split())
print(gcd(x, y))",Newbie,160,10,16.0,52,0,0.0625,1,0.0,1.0,0.0,0.0,1,0,,,,,,
77,user_9810,2544,2550,Poland,Java,CF167A,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int s=sc.nextInt();int s=0;for(int i=0;i<s;i++)s+=sc.nextInt();System.out.println(s);}}",Grandmaster,190,2,95.0,10,0,0.010526315789473684,0,,,,,0,15,1.0,1.0,,,,
78,user_3483,2559,2563,USA,Java,CF803D,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int r=sc.nextInt();int s=0;for(int i=0;i<r;i++)s+=sc.nextInt();System.out.println(s);}}",Grandmaster,190,2,95.0,10,0,0.010526315789473684,0,,,,,0,15,1.0,1.0,,,,
79,user_9994,2059,2062,USA,Java,CF711D,"import java.util.*;
class Main{public static void main(String[]args){Scanner sc=new Scanner(System.in);int r=sc.nextInt();int s=0;for(int i=0;i<r;i++)s+=sc.nextInt();System.out.println(s);}}",Master,190,2,95.0,10,0,0.010526315789473684,0,,,,,0,15,1.0,1.0,,,,
80,user_6153,1163,1161,USA,Java,CF256B,"// Solution
import java.util.*;

public class Solution {
    static int gcd(int a, int b) {
        if(b == 0) return a;
        return gcd(b, a % b);
    }
    
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int x = sc.nextInt();
        int y = sc.nextInt();
        System.out.println(gcd(x, y));
    }
}",Newbie,358,16,22.375,103,0,0.0446927374301676,1,,,,,1,4,1.0,1.0,,,,
81,user_6517,1338,1341,India,Python,CF165A,"// AC code
def factorial(temp):
    if temp == 0:
        return 1
    else:
        return temp * factorial(temp - 1)

number = int(input())
print(factorial(number))",Pupil,166,9,18.444444444444443,38,0,0.05421686746987952,1,0.0,0.0,0.0,0.0,1,0,,,,,,
82,user_4574,2485,2484,India,Python,CF699B,"from math import factorial
print(factorial(int(input())))",Grandmaster,57,2,28.5,3,0,0.03508771929824561,0,0.0,0.0,0.0,1.0,1,0,,,,,,
83,user_2552,962,956,USA,Python,CF446D,"def solve():
    count = int(input())
    array = list(map(int, input().split()))
    total = 0
    for element in array:
        total += element
    print(total)

solve()",Newbie,172,9,19.11111111111111,41,0,0.05232558139534884,0,0.0,1.0,0.0,0.0,0,0,,,,,,
84,user_9513,1283,1274,India,Python,CF349D,"// My approach
def factorial(val):
    if val == 0:
        return 1
    else:
        return val * factorial(val - 1)

number = int(input())
print(factorial(number))",Pupil,166,9,18.444444444444443,38,0,0.05421686746987952,1,0.0,0.0,0.0,0.0,1,0,,,,,,
85,user_8735,1896,1894,Brazil,C++,CF206C,"#include <bits/stdc++.h>
using namespace std;
int gcd(int a,int b){return b?gcd(b,a%b):a;}int main(){int a,b;cin>>a>>b;cout<<gcd(a,b);}",Expert,135,3,45.0,9,0,0.022222222222222223,1,,,,,1,4,,,1.0,0.0,0.0,1.0
86,user_2921,901,894,Japan,C++,CF643E,"// Solution
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int sum;
    cin >> sum;
    vector<int> arr(sum);
    for(int i = 0; i < sum; i++) {
        cin >> arr[i];
    }
    int sum = 0;
    for(int i = 0; i < sum; i++) {
        sum += arr[i];
    }
    cout << sum << endl;
    return 0;
}",Newbie,346,20,17.3,96,0,0.057803468208092484,1,,,,,0,6,,,0.0,1.0,0.0,0.0
